"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft",
269408,6523,"00A",80,80,"ASPH-G",1,0,"H1",,,,,,,,,,,
255155,6524,"00AK",2500,70,"GRVL",0,0,"N",,,,,,"S",,,,,
254165,6525,"00AL",2300,200,"TURF",0,0,"01",,,,,,"19",,,,,
270932,6526,"00AR",40,40,"GRASS",0,0,"H1",,,,,,"H1",,,,,
257681,6527,"00AZ",1700,60,"GRAVEL",0,0,"15",,,,,,"33",,,,,
245528,6528,"00CA",6000,80,"ASPH",0,0,"04",35.3493,-116.893,,50,,"22",35.3603,-116.878,,,
250597,6529,"00CO",3900,20,"TURF-G",0,0,"16",,,,,,"34",,,,,
247972,6531,"00FA",3200,100,"TURF",0,0,"08",,,,,,"26",,,,,800
265037,6532,"00FD",74,74,"TURF",0,0,"H1",,,,,,,,,,,
250414,6533,"00FL",4090,100,"TURF",0,0,"12",,,,,,"30",,,,,
253429,6534,"00GA",2600,80,"TURF",0,0,"09",,,,,,"27",,,,,
265038,6535,"00GE",125,95,"ASPH",1,0,"H1",,,,,,,,,,,
265039,6536,"00HI",1155,45,"ASPH-G",0,0,"H1",,,,,,,,,,,
246648,6537,"00ID",3300,40,"TURF",0,0,"08",,,,,,"26",,,,,
246649,6537,"00ID",2700,40,"TURF",0,0,"11",,,,,,"29",,,,,
252182,6539,"00IL",2500,75,"TURF-F",0,0,"18",,,,,290,"36",,,,,350
265040,6540,"00IN",40,40,"MATS",1,0,"H1",,,,,,,,,,,
254597,6541,"00IS",1600,70,"TURF",0,0,"E",,,,,,"W",,,,,
256603,6542,"00KS",2600,85,"TURF",0,0,"17",,,,,,"35",,,,,
251984,6543,"00KY",2100,100,"TURF",0,0,"01",,,,,,"19",,,,,
264322,45437,"00LA",40,40,"TURF",0,0,"H1",,,,,,,,,,,
265041,6544,"00LL",25,25,"CONC",0,0,"H1",,,,,,,,,,,
255958,6545,"00LS",2600,100,"TURF",0,0,"18",,,,,,"36",,,,,
255848,6546,"00MD",1700,75,"TURF",0,0,"14",,,,,,"32",,,,,
265042,6547,"00MI",100,100,"TURF",0,0,"H1",,,,,,,,,,,
255865,6548,"00MN",2949,200,"TURF-G",1,0,"06",,,,,,"24",,,,,
